DIEAREA ( 0 0 ) ( 1e+06 1e+06 )
name                                                                                     X              Y     LABEL
text_out_reg[20]                                                                        19              9        33
text_out_reg[21]                                                                        15             10        50
text_out_reg[22]                                                                        17              9        29
text_out_reg[23]                                                                        19             11        28
text_out_reg[24]                                                                        22             11         6
text_out_reg[25]                                                                        26              9        30
text_out_reg[26]                                                                        26              9        15
text_out_reg[27]                                                                        22              9         4
text_out_reg[28]                                                                        21              9         2
text_out_reg[29]                                                                        19              9        33
text_out_reg[30]                                                                        19              9        33
text_out_reg[31]                                                                        22             11         6
text_out_reg[32]                                                                        14             19       119
text_out_reg[33]                                                                        14             19       119
text_out_reg[34]                                                                        12             16       120
text_out_reg[35]                                                                        14             19       119
text_out_reg[36]                                                                         9             20        76
text_out_reg[37]                                                                        11             23        96
text_out_reg[38]                                                                         9             20        76
text_out_reg[39]                                                                         8             18       113
text_out_reg[40]                                                                        12             16       120
text_out_reg[41]                                                                        14             20       107
text_out_reg[42]                                                                        12             23        91
text_out_reg[43]                                                                        12             23        91
text_out_reg[44]                                                                        14             22        95
text_out_reg[45]                                                                        12             23        91
text_out_reg[46]                                                                        11             23        96
text_out_reg[47]                                                                        11             23        96
text_out_reg[48]                                                                         9             15        68
text_out_reg[49]                                                                         8             13        31
text_out_reg[50]                                                                         9             12        27
text_out_reg[51]                                                                         7             16       102
text_out_reg[52]                                                                         9             20        76
text_out_reg[53]                                                                         8             19       124
text_out_reg[54]                                                                         7             21        55
text_out_reg[55]                                                                         8             18        63
text_out_reg[56]                                                                         9             15        68
text_out_reg[57]                                                                         8             13        31
text_out_reg[58]                                                                         7             16       102
text_out_reg[59]                                                                         9             15        68
text_out_reg[60]                                                                         9             20        76
text_out_reg[61]                                                                         8             19       124
text_out_reg[62]                                                                         8             22        26
text_out_reg[63]                                                                         8             18        63
text_out_reg[64]                                                                        13             35         8
text_out_reg[65]                                                                        15             35        25
text_out_reg[66]                                                                        18             32        16
text_out_reg[67]                                                                        16             34        21
text_out_reg[68]                                                                        12             34         9
text_out_reg[69]                                                                        12             34         9
text_out_reg[70]                                                                         9             34       111
text_out_reg[71]                                                                         8             34       106
text_out_reg[72]                                                                        13             35         8
text_out_reg[73]                                                                        18             32        16
text_out_reg[74]                                                                        18             32        16
text_out_reg[75]                                                                        18             32         5
text_out_reg[76]                                                                        12             28        64
text_out_reg[77]                                                                        11             30        62
text_out_reg[78]                                                                        12             34         9
text_out_reg[79]                                                                        11             30        62
text_out_reg[80]                                                                        12             30        65
text_out_reg[81]                                                                        16             29        17
text_out_reg[82]                                                                        14             28         1
text_out_reg[83]                                                                        14             29         3
text_out_reg[84]                                                                        13             25       101
text_out_reg[85]                                                                        10             28        90
text_out_reg[86]                                                                        10             28        90
text_out_reg[87]                                                                        10             28        90
text_out_reg[88]                                                                        11             30        62
text_out_reg[89]                                                                        14             29         3
text_out_reg[90]                                                                        12             34         9
text_out_reg[91]                                                                        14             29         3
text_out_reg[92]                                                                         8             31        46
text_out_reg[93]                                                                         8             30        75
text_out_reg[94]                                                                         8             30        75
text_out_reg[95]                                                                         8             31        46
text_out_reg[96]                                                                        31             29        69
text_out_reg[97]                                                                        34             33        47
text_out_reg[98]                                                                        36             31        49
text_out_reg[99]                                                                        36             31        49
text_out_reg[100]                                                                       35             29        18
text_out_reg[101]                                                                       36             25       128
text_out_reg[102]                                                                       36             25       128
text_out_reg[103]                                                                       36             31        49
text_out_reg[104]                                                                       35             28        13
text_out_reg[105]                                                                       34             33        47
text_out_reg[106]                                                                       36             32        37
text_out_reg[107]                                                                       35             29        18
text_out_reg[108]                                                                       36             26       128
text_out_reg[109]                                                                       36             26       128
text_out_reg[110]                                                                       36             26       128
text_out_reg[111]                                                                       36             25       128
text_out_reg[112]                                                                       31             29        69
text_out_reg[113]                                                                       30             28        66
text_out_reg[114]                                                                       30             32        36
text_out_reg[115]                                                                       31             29        69
text_out_reg[116]                                                                       33             25        97
text_out_reg[117]                                                                       34             23       105
text_out_reg[118]                                                                       33             25        97
text_out_reg[119]                                                                       37             26       130
text_out_reg[120]                                                                       31             31        52
text_out_reg[121]                                                                       29             33        23
text_out_reg[122]                                                                       32             34        85
text_out_reg[123]                                                                       31             33        24
text_out_reg[124]                                                                       35             29        18
text_out_reg[125]                                                                       35             28        13
text_out_reg[126]                                                                       35             29        18
text_out_reg[127]                                                                       36             32        37
ld_r_reg                                                                                12             12       122
